#shard	chrom	start	end
rest	chrUn_KI270510v1	0	2415
rest	chrUn_KI270509v1	0	2318
rest	chrUn_KI270518v1	0	2186
rest	chrUn_KI270508v1	0	1951
rest	chrUn_KI270516v1	0	1300
rest	chrUn_KI270512v1	0	22689
rest	chrUn_KI270519v1	0	138126
rest	chrUn_KI270522v1	0	5674
rest	chrUn_KI270511v1	0	8127
rest	chrUn_KI270515v1	0	6361
rest	chrUn_KI270507v1	0	5353
rest	chrUn_KI270517v1	0	3253
rest	chrUn_KI270529v1	0	1899
rest	chrUn_KI270528v1	0	2983
rest	chrUn_KI270530v1	0	2168
rest	chrUn_KI270539v1	0	993
rest	chrUn_KI270538v1	0	91309
rest	chrUn_KI270544v1	0	1202
rest	chrUn_KI270548v1	0	1599
rest	chrUn_KI270583v1	0	1400
rest	chrUn_KI270587v1	0	2969
rest	chrUn_KI270580v1	0	1553
rest	chrUn_KI270581v1	0	7046
rest	chrUn_KI270579v1	0	31033
rest	chrUn_KI270589v1	0	44474
rest	chrUn_KI270590v1	0	4685
rest	chrUn_KI270584v1	0	4513
rest	chrUn_KI270582v1	0	6504
rest	chrUn_KI270588v1	0	6158
rest	chrUn_KI270593v1	0	3041
rest	chrUn_KI270591v1	0	5796
rest	chrUn_KI270330v1	0	1652
rest	chrUn_KI270329v1	0	1040
rest	chrUn_KI270334v1	0	1368
rest	chrUn_KI270333v1	0	2699
rest	chrUn_KI270335v1	0	1048
rest	chrUn_KI270338v1	0	1428
rest	chrUn_KI270340v1	0	1428
rest	chrUn_KI270336v1	0	1026
rest	chrUn_KI270337v1	0	1121
rest	chrUn_KI270363v1	0	1803
rest	chrUn_KI270364v1	0	2855
rest	chrUn_KI270362v1	0	3530
rest	chrUn_KI270366v1	0	8320
rest	chrUn_KI270378v1	0	1048
rest	chrUn_KI270379v1	0	1045
rest	chrUn_KI270389v1	0	1298
rest	chrUn_KI270390v1	0	2387
rest	chrUn_KI270387v1	0	1537
rest	chrUn_KI270395v1	0	1143
rest	chrUn_KI270396v1	0	1880
rest	chrUn_KI270388v1	0	1216
rest	chrUn_KI270394v1	0	970
rest	chrUn_KI270386v1	0	1788
rest	chrUn_KI270391v1	0	1484
rest	chrUn_KI270383v1	0	1750
rest	chrUn_KI270393v1	0	1308
rest	chrUn_KI270384v1	0	1658
rest	chrUn_KI270392v1	0	971
rest	chrUn_KI270381v1	0	1930
rest	chrUn_KI270385v1	0	990
rest	chrUn_KI270382v1	0	4215
rest	chrUn_KI270376v1	0	1136
rest	chrUn_KI270374v1	0	2656
rest	chrUn_KI270372v1	0	1650
rest	chrUn_KI270373v1	0	1451
rest	chrUn_KI270375v1	0	2378
rest	chrUn_KI270371v1	0	2805
rest	chrUn_KI270448v1	0	7992
rest	chrUn_KI270521v1	0	7642
rest	chrUn_GL000195v1	0	182896
rest	chrUn_GL000219v1	0	179198
rest	chrUn_GL000220v1	0	161802
rest	chrUn_GL000224v1	0	179693
rest	chrUn_KI270741v1	0	157432
rest	chrUn_GL000226v1	0	15008
rest	chrUn_GL000213v1	0	164239
rest	chrUn_KI270743v1	0	210658
rest	chrUn_KI270744v1	0	168472
rest	chrUn_KI270745v1	0	41891
rest	chrUn_KI270746v1	0	66486
rest	chrUn_KI270747v1	0	198735
rest	chrUn_KI270748v1	0	93321
rest	chrUn_KI270749v1	0	158759
rest	chrUn_KI270750v1	0	148850
rest	chrUn_KI270751v1	0	150742
rest	chrUn_KI270752v1	0	27745
rest	chrUn_KI270753v1	0	62944
rest	chrUn_KI270754v1	0	40191
rest	chrUn_KI270755v1	0	36723
rest	chrUn_KI270756v1	0	79590
rest	chrUn_KI270757v1	0	71251
rest	chrUn_GL000214v1	0	137718
rest	chrUn_KI270742v1	0	186739
rest	chrUn_GL000216v2	0	176608
rest	chrUn_GL000218v1	0	161147
rest	chrEBV	0	171823
rest	MAP2K3_chr17_22578583_22605165	0	26582
rest	KCNJ18_chr17_22629421_22688415	0	58994
rest	KMT2C_chr21_7687010_7731520	0	44510
rest	KMT2C_chr15_6020392_6062903	0	42511
rest	KMT2C_chr13_14464876_14502703	0	37827
rest	KMT2C_chr13_14211849_14228603	0	16754
rest	KMT2C_chr13_10688343_10754814	0	66471
rest	KMT2C_chr13_10744786_10790087	0	45301
rest	KMT2C_chr13_11526357_11569988	0	43631
rest	KMT2C_chr13_11559977_11592630	0	32653
rest	KMT2C_chr13_14408161_14474907	0	66746
rest	KMT2C_chr14_3553442_3620349	0	66907
rest	KMT2C_chr14_3610318_3640421	0	30103
rest	KMT2C_chr15_5960377_6027329	0	66952
rest	KMT2C_chr2_89596961_89613143	0	16182
rest	KMT2C_chr2_90170767_90210396	0	39629
rest	KMT2C_chr21_7659652_7674726	0	15074
rest	KMT2C_chr21_8616365_8659521	0	43156
rest	KMT2C_chr21_8649510_8682182	0	32672
rest	KMT2C_chr22_6626735_6693166	0	66431
rest	KMT2C_chr22_6683135_6713219	0	30084
rest	KMT2C_chr22_11126384_11167180	0	40796
rest	KMT2C_chr22_11157169_11189815	0	32646
